transformer_id,substation_id,region,total_power_mw,avg_voltage_kv,avg_current_amp,avg_power_mw,avg_frequency_hz,avg_load_percent,avg_power_factor,avg_temperature_c,max_temperature_c,total_energy_generated_mwh,total_energy_consumed_mwh,avg_latency_ms,total_faults,max_risk_score,avg_risk_score,record_count,distinct_anomaly_types,worst_status,status,dominant_anomaly_type
TR-020008,SUB-020,East,597.1,40.15,66.03,2.17,49.99,72.27,0.83,54.57,74.74,1078.54,688.93,17.59,29,100,71.71,275,11,Critical,High Risk,Generation Drop
TR-024008,SUB-024,North,622.16,40.27,65.29,2.12,50.0,72.12,0.82,54.66,74.47,3024.11,616.39,17.71,34,100,71.68,293,11,Critical,High Risk,Generation Drop
TR-008004,SUB-008,South,591.3,40.27,64.75,2.12,49.99,71.17,0.83,54.47,70.86,881.5,182.46,15.89,41,100,71.65,279,11,Critical,High Risk,Generation Drop
TR-021004,SUB-021,West,551.38,39.52,65.0,2.08,50.0,71.69,0.82,54.62,71.26,934.4,446.62,16.15,31,100,71.63,265,11,Critical,High Risk,Generation Drop
TR-026010,SUB-026,South,524.46,40.19,64.59,2.11,50.0,71.47,0.82,54.37,72.82,-68.99,779.75,16.24,31,100,71.51,249,11,Critical,High Risk,Generation Drop
TR-029008,SUB-029,North,562.94,40.05,65.65,2.15,50.0,71.77,0.83,54.05,71.58,-672.51,758.4,16.91,34,100,71.5,262,11,Critical,High Risk,Generation Drop
TR-018011,SUB-018,North-East,536.65,39.9,65.38,2.14,50.02,71.55,0.83,54.13,69.7,435.43,447.4,16.58,41,100,70.92,251,11,Critical,High Risk,Generation Drop
TR-005010,SUB-005,West,521.93,40.04,64.4,2.09,50.01,70.82,0.83,54.45,74.26,559.8,1063.75,16.65,28,100,70.69,250,11,Critical,High Risk,Generation Drop
TR-003016,SUB-003,North,555.8,40.14,64.38,2.1,50.0,71.05,0.83,54.24,73.26,588.8,814.22,18.56,27,100,70.69,265,11,Critical,High Risk,Generation Drop
TR-006003,SUB-006,West,589.13,40.41,64.5,2.12,50.0,70.74,0.83,53.97,72.31,1636.74,526.94,17.29,40,100,70.65,278,11,Critical,High Risk,Generation Drop
TR-023012,SUB-023,East,505.02,39.84,64.69,2.09,50.04,71.07,0.83,53.94,73.63,-853.22,288.4,16.15,27,100,70.56,242,11,Critical,High Risk,Overload
TR-026018,SUB-026,South,477.39,39.67,64.29,2.07,49.99,71.0,0.83,54.16,77.71,301.32,739.55,16.51,28,100,70.38,231,11,Critical,High Risk,Generation Drop
TR-022010,SUB-022,South,486.75,39.88,64.27,2.08,50.01,70.65,0.83,53.82,72.39,1259.2,505.2,16.54,28,100,70.3,234,11,Critical,High Risk,Generation Drop
TR-009001,SUB-009,South,507.14,39.76,64.05,2.1,50.0,71.02,0.84,53.71,72.79,1045.2,365.68,16.46,27,100,69.93,242,11,Critical,Warning,Generation Drop
TR-013019,SUB-013,East,530.03,39.7,64.04,2.09,49.99,70.51,0.84,53.67,70.43,1407.9,269.01,15.44,26,100,69.91,253,11,Critical,Warning,Generation Drop
TR-009015,SUB-009,South,593.89,39.95,63.93,2.09,50.01,69.94,0.83,54.06,70.27,1583.39,412.1,15.78,24,100,69.77,284,11,Critical,Warning,Generation Drop
TR-017016,SUB-017,North-East,538.43,40.01,63.6,2.08,49.99,70.39,0.83,53.61,68.53,1297.8,275.22,16.05,30,100,69.74,259,11,Critical,Warning,Generation Drop
TR-013015,SUB-013,East,508.22,39.82,63.43,2.07,49.99,69.74,0.83,53.99,70.17,-427.23,705.53,16.47,29,100,69.26,246,11,Critical,Warning,Generation Drop
TR-012020,SUB-012,East,506.3,39.61,64.05,2.08,50.0,70.2,0.83,53.47,68.54,-1277.9,989.74,14.99,27,100,69.05,244,11,Critical,Warning,Generation Drop
TR-016003,SUB-016,Central,551.31,39.87,62.98,2.06,50.01,69.6,0.84,53.34,74.94,649.5,427.31,16.23,23,100,68.52,267,11,Critical,Warning,Generation Drop
TR-015012,SUB-015,Central,551.38,39.86,63.88,2.08,50.0,69.72,0.83,53.45,75.91,1223.82,858.74,15.61,26,100,68.51,265,11,Critical,Warning,Generation Drop
TR-008019,SUB-008,South,537.22,40.21,63.03,2.09,49.98,69.9,0.84,53.59,76.48,-585.57,593.2,17.27,29,100,68.44,257,11,Critical,Warning,Generation Drop
TR-025017,SUB-025,West,515.28,40.29,62.63,2.08,50.0,69.31,0.84,53.69,72.52,360.54,373.34,15.27,23,100,68.41,248,11,Critical,Warning,Generation Drop
TR-005001,SUB-005,West,514.6,40.1,62.12,2.07,49.99,68.93,0.84,53.24,70.52,1980.32,875.87,16.0,34,100,68.38,249,11,Critical,Warning,Generation Drop
TR-004006,SUB-004,North,580.11,40.17,63.24,2.09,50.0,70.14,0.84,53.2,72.54,1216.25,797.43,15.56,29,100,68.2,277,11,Critical,Warning,Generation Drop
TR-006017,SUB-006,West,564.7,40.22,63.44,2.09,49.95,69.57,0.84,53.27,70.74,445.05,745.44,16.9,30,100,68.17,270,11,Critical,Warning,Generation Drop
TR-006020,SUB-006,West,532.6,39.95,62.91,2.07,50.01,69.25,0.84,53.22,76.53,1243.09,958.19,14.17,34,100,68.13,257,11,Critical,Warning,Generation Drop
TR-020011,SUB-020,East,522.77,39.96,63.83,2.1,49.98,70.05,0.84,53.36,69.41,623.01,559.21,16.05,26,100,68.06,249,11,Critical,Warning,Generation Drop
TR-018005,SUB-018,North-East,592.06,40.16,62.94,2.08,50.0,69.46,0.84,53.41,71.01,104.24,933.6,16.39,39,100,67.77,285,11,Critical,Warning,Generation Drop
TR-012009,SUB-012,East,539.99,40.16,62.84,2.08,49.97,69.35,0.84,52.85,69.26,2171.64,201.51,16.06,22,100,66.93,259,11,Critical,Warning,Generation Drop
TR-025006,SUB-025,West,540.21,40.24,61.64,2.04,50.0,67.68,0.84,52.96,70.04,1773.85,741.87,16.14,33,100,66.82,265,11,Critical,Warning,Generation Drop
TR-001005,SUB-001,North,523.47,40.02,62.96,2.07,49.99,69.43,0.84,53.42,74.73,77.94,725.39,15.12,27,100,66.65,253,11,Critical,Warning,Generation Drop
TR-028002,SUB-028,Central,516.9,40.07,62.56,2.07,49.99,67.87,0.84,53.06,73.47,-53.98,491.9,16.67,27,100,66.59,250,11,Critical,Warning,Generation Drop
TR-006014,SUB-006,West,585.9,40.28,62.35,2.07,50.02,68.54,0.84,53.0,67.88,2231.84,276.82,16.27,41,100,66.34,283,11,Critical,Warning,Generation Drop
TR-026016,SUB-026,South,536.1,39.65,61.43,2.01,50.0,67.48,0.84,52.63,74.68,-299.04,188.8,14.81,26,100,66.31,267,11,Critical,Warning,Generation Drop
TR-023014,SUB-023,East,514.58,40.03,62.17,2.04,50.0,68.24,0.84,53.13,68.78,400.49,796.33,15.25,22,100,66.27,252,11,Critical,Warning,Generation Drop
TR-026008,SUB-026,South,568.96,39.78,61.95,2.04,49.98,68.18,0.84,52.82,72.54,462.12,93.2,15.23,34,100,66.24,279,11,Critical,Warning,Generation Drop
TR-006018,SUB-006,West,504.19,40.33,61.21,2.03,49.97,67.9,0.84,52.86,71.19,1285.02,897.37,16.5,23,100,66.11,248,11,Critical,Warning,Generation Drop
TR-019008,SUB-019,West,488.37,40.04,61.76,2.06,50.02,68.45,0.85,52.59,71.58,1332.92,969.44,15.96,17,100,65.81,237,11,Critical,Warning,Generation Drop
TR-026012,SUB-026,South,580.96,39.95,61.96,2.04,49.98,67.86,0.84,52.58,67.63,836.55,595.79,16.26,39,100,65.78,285,11,Critical,Warning,Generation Drop
TR-002003,SUB-002,North,470.95,40.33,61.78,2.06,50.03,67.82,0.84,53.11,73.07,659.88,150.36,14.38,25,100,65.78,229,11,Critical,Warning,Overload
TR-028016,SUB-028,Central,558.47,40.15,61.63,2.07,49.99,67.77,0.85,52.43,71.44,1298.46,509.69,15.04,30,100,65.68,270,11,Critical,Warning,Generation Drop
TR-025018,SUB-025,West,542.85,39.84,61.4,2.03,49.97,67.54,0.85,52.38,68.99,1256.07,429.14,14.35,34,100,65.25,267,11,Critical,Warning,Generation Drop
TR-012013,SUB-012,East,480.55,40.35,60.98,2.05,49.98,67.71,0.85,52.28,68.47,-343.29,841.03,13.56,22,100,64.9,234,11,Critical,Warning,Generation Drop
TR-025020,SUB-025,West,516.23,40.16,60.96,2.03,50.02,67.19,0.85,52.32,72.41,923.53,788.49,14.96,27,100,64.85,254,11,Critical,Warning,Generation Drop
TR-002012,SUB-002,North,539.38,39.92,61.8,2.04,50.0,67.42,0.84,52.68,74.43,698.78,619.33,15.39,26,100,64.83,265,11,Critical,Warning,Generation Drop
TR-003005,SUB-003,North,558.98,40.02,61.32,2.03,50.0,67.15,0.84,52.37,69.41,1404.83,335.31,15.65,27,100,64.69,275,11,Critical,Warning,Generation Drop
TR-029015,SUB-029,North,537.16,40.02,60.32,1.99,49.98,66.93,0.84,52.4,67.58,1175.65,324.66,13.42,36,100,64.67,270,11,Critical,Warning,Generation Drop
TR-011003,SUB-011,East,568.8,40.32,60.93,2.05,49.99,66.86,0.85,52.43,73.96,-374.43,170.01,14.29,31,100,64.42,278,11,Critical,Warning,Generation Drop
TR-015008,SUB-015,Central,521.01,40.05,60.88,2.02,49.99,67.18,0.84,52.43,71.24,-871.61,493.98,14.31,24,100,64.38,258,11,Critical,Warning,Generation Drop
TR-006008,SUB-006,West,549.89,39.81,61.28,2.01,50.0,66.89,0.85,52.49,73.42,-406.93,372.84,15.42,21,100,64.22,273,11,Critical,Warning,Generation Drop
TR-005020,SUB-005,West,475.26,40.03,60.28,2.0,50.02,66.0,0.84,52.35,66.88,333.36,365.65,15.15,32,100,64.0,238,11,Critical,Warning,Generation Drop
TR-021010,SUB-021,West,598.13,40.12,61.75,2.06,49.98,67.19,0.85,51.95,68.79,1017.98,709.74,14.36,28,100,63.84,290,11,Critical,Warning,Generation Drop
TR-009011,SUB-009,South,521.27,39.96,60.87,2.02,49.99,66.9,0.85,51.79,71.66,368.93,379.78,14.23,24,100,63.55,258,11,Critical,Warning,Generation Drop
TR-004008,SUB-004,North,605.2,39.75,60.0,1.98,50.01,66.35,0.85,52.11,69.63,100.39,752.29,14.33,30,100,63.54,305,11,Critical,Warning,Generation Drop
TR-014003,SUB-014,Central,508.37,39.71,60.68,2.0,49.97,66.63,0.85,51.99,68.66,1221.62,-158.74,13.7,24,100,63.43,254,11,Critical,Warning,Generation Drop
TR-027008,SUB-027,North-East,591.49,40.04,60.07,2.01,50.0,66.2,0.85,52.0,70.4,871.75,791.9,15.86,30,100,63.21,295,11,Critical,Warning,Generation Drop
TR-025015,SUB-025,West,541.83,39.98,60.44,2.01,50.02,66.19,0.85,51.83,68.49,-119.18,784.36,14.76,32,100,63.19,269,11,Critical,Warning,Generation Drop
TR-019004,SUB-019,West,529.85,40.12,60.19,2.0,49.97,66.14,0.84,52.36,71.32,-1436.1,610.53,14.59,23,100,63.11,265,11,Critical,Warning,Generation Drop
TR-019013,SUB-019,West,527.03,40.15,59.47,1.98,49.99,66.03,0.85,51.77,74.25,12.92,843.9,14.74,25,100,62.78,266,11,Critical,Warning,Generation Drop
TR-003013,SUB-003,North,547.45,39.85,59.82,1.98,49.99,65.97,0.85,51.87,70.16,821.18,558.12,14.35,19,100,62.77,277,11,Critical,Warning,Generation Drop
TR-003003,SUB-003,North,487.27,39.93,59.86,1.98,49.99,66.07,0.85,51.87,71.83,708.38,299.3,13.67,22,100,62.68,246,11,Critical,Warning,Generation Drop
TR-001009,SUB-001,North,548.88,39.99,60.44,2.02,49.99,66.04,0.85,51.66,71.59,-7.43,547.03,13.75,22,100,62.68,272,11,Critical,Warning,Generation Drop
TR-014004,SUB-014,Central,520.04,39.84,60.31,2.02,50.0,65.71,0.85,51.61,69.66,-441.45,462.73,13.83,25,100,62.46,258,11,Critical,Warning,Generation Drop
TR-022004,SUB-022,South,603.0,40.22,59.54,2.0,50.0,65.51,0.85,51.52,69.42,-128.7,1053.49,14.01,24,100,62.41,301,11,Critical,Warning,Generation Drop
TR-029018,SUB-029,North,475.56,39.6,59.63,1.97,50.0,65.9,0.85,51.6,71.95,948.68,500.93,14.76,16,100,62.39,241,11,Critical,Warning,Generation Drop
TR-017002,SUB-017,North-East,501.24,39.84,59.87,2.0,50.03,65.59,0.85,51.71,72.26,1369.27,397.94,14.2,24,100,62.38,251,11,Critical,Warning,Generation Drop
TR-025010,SUB-025,West,505.12,40.19,59.81,2.0,49.97,65.06,0.85,51.87,71.88,2086.24,473.93,14.13,28,100,62.24,252,11,Critical,Warning,Generation Drop
TR-009016,SUB-009,South,521.26,40.14,59.18,1.98,50.0,65.07,0.85,51.79,71.51,1270.9,356.0,15.34,33,100,62.15,263,11,Critical,Warning,Generation Drop
TR-023006,SUB-023,East,507.03,39.82,59.37,1.97,50.0,65.07,0.85,51.5,69.47,-116.67,634.27,15.65,33,100,62.12,257,11,Critical,Warning,Generation Drop
TR-013004,SUB-013,East,516.55,39.72,60.17,1.98,50.0,65.73,0.85,51.87,75.41,720.97,629.97,14.27,24,100,61.98,261,11,Critical,Warning,Generation Drop
TR-002018,SUB-002,North,489.73,40.18,60.0,2.02,49.98,65.78,0.85,51.31,67.46,-38.4,704.45,14.52,21,100,61.88,243,11,Critical,Warning,Generation Drop
TR-021008,SUB-021,West,502.49,40.06,59.29,1.99,50.02,65.16,0.85,51.59,72.55,-661.81,1036.28,13.99,25,100,61.77,253,11,Critical,Warning,Generation Drop
TR-021016,SUB-021,West,524.41,39.96,59.11,1.97,50.0,64.97,0.85,51.51,74.38,981.76,439.52,14.4,25,100,61.73,266,11,Critical,Warning,Generation Drop
TR-028004,SUB-028,Central,486.37,40.16,59.21,1.99,50.02,64.98,0.85,51.39,66.35,692.5,1221.66,13.49,19,100,61.6,245,11,Critical,Warning,Generation Drop
TR-003010,SUB-003,North,466.31,40.08,59.1,1.98,50.0,65.01,0.85,51.43,69.45,-559.05,78.58,13.56,23,100,61.41,235,11,Critical,Warning,Generation Drop
TR-007005,SUB-007,West,533.06,40.03,58.73,1.98,50.02,64.38,0.86,51.24,70.01,-48.06,522.44,14.24,28,100,61.29,269,11,Critical,Warning,Generation Drop
TR-012018,SUB-012,East,526.26,39.86,59.35,2.0,50.01,65.1,0.86,51.13,68.49,1181.49,913.17,12.9,24,100,61.13,263,11,Critical,Warning,Generation Drop
TR-004009,SUB-004,North,542.95,40.06,58.73,1.97,50.02,64.58,0.85,51.27,67.64,1093.81,261.01,13.15,22,100,61.09,276,11,Critical,Warning,Generation Drop
TR-029014,SUB-029,North,550.94,39.8,58.08,1.93,49.99,63.95,0.85,51.25,71.09,881.44,965.62,15.21,33,100,61.04,285,11,Critical,Warning,Generation Drop
TR-017012,SUB-017,North-East,473.81,40.51,58.54,1.99,49.99,64.45,0.85,51.19,73.69,1010.11,233.84,13.4,13,100,60.55,238,11,Critical,Warning,Generation Drop
TR-007010,SUB-007,West,504.96,39.67,58.37,1.92,49.99,64.09,0.85,51.31,69.26,-1009.75,470.74,13.06,25,100,60.52,263,11,Critical,Warning,Generation Drop
TR-017010,SUB-017,North-East,545.53,40.0,57.11,1.91,50.0,63.41,0.85,51.11,69.71,563.73,156.94,13.52,32,100,59.9,286,11,Critical,Warning,Generation Drop
TR-011015,SUB-011,East,548.71,39.94,58.46,1.95,50.01,63.84,0.85,51.04,76.25,2012.75,900.66,14.06,20,100,59.72,281,11,Critical,Warning,Generation Drop
TR-020020,SUB-020,East,508.31,39.71,58.33,1.97,50.01,63.59,0.87,50.84,72.07,227.53,567.22,12.5,24,100,59.68,258,11,Critical,Warning,Generation Drop
TR-001002,SUB-001,North,480.9,39.93,57.56,1.92,50.0,63.77,0.85,51.07,68.33,243.47,1217.57,13.26,19,100,59.68,251,11,Critical,Warning,Generation Drop
TR-007017,SUB-007,West,490.51,39.76,58.16,1.97,50.02,64.16,0.87,50.65,73.52,-7.37,867.11,13.87,15,100,59.57,249,11,Critical,Warning,Generation Drop
TR-027005,SUB-027,North-East,450.75,40.03,57.56,1.94,49.99,63.53,0.86,51.19,81.37,169.64,113.66,13.41,15,100,59.54,232,11,Critical,Warning,Generation Drop
TR-029010,SUB-029,North,502.12,39.97,57.2,1.93,50.0,63.16,0.86,50.73,70.26,225.79,372.7,12.81,20,100,59.41,260,11,Critical,Warning,Generation Drop
TR-005008,SUB-005,West,471.5,39.92,58.16,1.94,49.99,63.53,0.86,50.77,70.4,3.16,285.92,14.96,19,100,59.33,243,11,Critical,Warning,Generation Drop
TR-023011,SUB-023,East,486.51,39.92,58.18,1.95,49.99,64.44,0.86,50.79,70.95,1195.74,728.11,14.53,23,100,59.19,250,11,Critical,Warning,Generation Drop
TR-004020,SUB-004,North,496.69,40.21,59.11,1.99,50.0,64.19,0.86,50.89,71.69,-105.49,245.88,14.09,23,100,59.18,249,11,Critical,Warning,Generation Drop
TR-028010,SUB-028,Central,490.03,40.03,58.95,1.98,50.01,64.46,0.86,50.72,70.5,417.7,266.39,13.71,17,100,58.89,247,11,Critical,Warning,Generation Drop
TR-028009,SUB-028,Central,518.75,40.02,57.3,1.93,49.97,62.84,0.86,50.68,71.98,-654.16,595.56,13.55,22,100,58.78,269,11,Critical,Warning,Generation Drop
TR-011016,SUB-011,East,474.33,40.0,56.28,1.9,50.02,62.44,0.86,50.57,66.36,-163.3,78.9,14.06,21,100,58.72,249,11,Critical,Warning,Generation Drop
TR-014012,SUB-014,Central,497.81,39.83,55.99,1.88,49.97,62.47,0.86,50.61,68.94,626.45,586.87,14.17,19,100,58.54,265,11,Critical,Warning,Generation Drop
TR-017017,SUB-017,North-East,488.32,40.06,57.84,1.95,50.02,63.9,0.86,50.8,69.52,723.52,396.95,12.49,17,100,58.47,251,11,Critical,Warning,Generation Drop
TR-013007,SUB-013,East,485.65,40.23,56.93,1.93,49.99,62.6,0.86,50.68,74.08,1120.61,704.91,12.82,15,100,58.18,252,11,Critical,Warning,Generation Drop
TR-023005,SUB-023,East,445.95,40.16,58.21,1.97,49.99,63.3,0.86,50.66,72.46,1257.93,203.91,13.33,14,100,58.17,226,11,Critical,Warning,Generation Drop
TR-023001,SUB-023,East,483.56,39.89,57.49,1.93,50.0,63.24,0.86,50.64,72.02,2002.15,544.69,12.71,16,100,57.94,251,11,Critical,Warning,Overload
TR-003002,SUB-003,North,489.19,39.63,57.14,1.92,50.02,63.05,0.86,50.35,64.78,1422.53,536.82,13.31,23,100,57.81,255,11,Critical,Warning,Generation Drop
TR-011004,SUB-011,East,472.25,40.21,57.19,1.94,50.01,62.78,0.86,50.44,68.67,1042.52,70.55,13.12,19,100,57.42,244,11,Critical,Warning,Generation Drop
TR-004005,SUB-004,North,454.87,40.03,55.74,1.88,50.0,61.85,0.86,50.24,67.8,568.93,237.3,12.96,16,100,57.38,242,11,Critical,Warning,Generation Drop
TR-007001,SUB-007,West,527.23,40.1,55.83,1.9,50.0,61.57,0.87,50.2,71.65,35.33,614.32,11.58,25,100,57.26,277,11,Critical,Warning,Generation Drop
TR-011006,SUB-011,East,436.02,40.05,56.45,1.9,50.01,62.9,0.86,50.32,68.59,283.92,729.51,13.63,12,100,57.23,229,11,Critical,Warning,Generation Drop
TR-021017,SUB-021,West,435.79,40.02,56.71,1.9,49.99,62.68,0.86,50.4,68.91,903.54,-170.63,13.97,15,100,57.13,229,11,Critical,Warning,Generation Drop
TR-019005,SUB-019,West,518.23,39.77,56.32,1.88,49.99,62.18,0.86,50.57,70.69,361.35,-501.83,12.9,22,100,57.09,276,11,Critical,Warning,Generation Drop
TR-015013,SUB-015,Central,473.62,40.38,57.01,1.95,50.02,62.47,0.86,50.22,68.72,14.32,288.06,12.54,10,100,56.67,243,11,Critical,Warning,Generation Drop
TR-007019,SUB-007,West,555.76,40.14,55.99,1.9,50.01,61.4,0.86,50.4,77.74,948.99,744.06,13.32,26,100,56.37,292,11,Critical,Warning,Generation Drop
TR-003004,SUB-003,North,579.0,39.85,55.57,1.88,49.99,61.34,0.87,50.12,73.59,616.95,1128.17,11.65,33,100,56.27,308,11,Critical,Warning,Generation Drop
TR-029012,SUB-029,North,496.83,39.96,55.56,1.89,50.01,61.34,0.87,50.17,70.77,-671.5,123.93,12.9,16,100,56.07,263,11,Critical,Warning,Generation Drop
