date,total_power_mw,avg_load_percent,avg_temperature_c,total_energy_generated_mwh,total_energy_consumed_mwh,total_faults,record_count,avg_risk_score
2025-04-30,2777.83,53.3,47.16,2588.31,3141.59,87,1663,43.73
2025-05-01,2668.37,53.08,47.04,-176.97,2501.26,70,1600,43.31
2025-05-02,2884.68,53.41,47.03,3682.63,5122.59,78,1718,43.58
2025-05-03,2862.52,53.69,47.32,2174.2,3068.62,82,1703,44.43
2025-05-04,2836.04,53.18,47.01,-2813.05,2810.84,86,1702,43.1
2025-05-05,2743.37,53.04,47.03,2565.49,1255.57,66,1633,43.11
2025-05-06,2852.92,53.7,47.33,1871.79,3726.68,75,1679,44.11
2025-05-07,2848.2,54.29,47.47,2165.29,2715.06,86,1686,44.81
2025-05-08,2721.96,53.28,47.02,3764.46,2192.06,80,1615,43.55
2025-05-09,2787.05,52.26,46.75,6345.35,2612.7,76,1693,42.01
2025-05-10,2843.81,53.6,47.23,3104.81,2560.02,91,1681,44.1
2025-05-11,2926.7,54.28,47.29,3854.56,3444.87,83,1711,44.48
2025-05-12,2776.41,53.34,47.01,454.17,3103.33,72,1651,43.43
2025-05-13,2914.67,53.82,47.35,3461.72,2594.04,97,1724,44.64
2025-05-14,2999.23,54.1,47.41,8451.95,1057.79,98,1755,44.7
2025-05-15,2776.39,54.07,47.35,2946.39,1917.45,96,1637,44.56
2025-05-16,2868.13,54.38,47.42,3381.95,3588.89,114,1681,44.92
2025-05-17,2888.42,53.27,47.03,4613.63,3050.94,75,1718,43.3
2025-05-18,2964.96,53.35,47.18,3240.34,3831.71,83,1789,43.73
2025-05-19,2965.96,53.54,47.18,5352.62,4768.97,99,1758,43.88
2025-05-20,2891.85,53.01,47.05,3417.92,3344.64,81,1726,43.33
2025-05-21,2796.85,53.1,46.96,-134.17,1375.8,77,1670,43.17
2025-05-22,2934.26,54.27,47.28,4833.84,4713.85,73,1708,44.61
2025-05-23,2729.67,53.13,47.14,3860.49,734.08,93,1638,43.54
2025-05-24,2842.52,53.73,47.28,2971.47,3004.68,99,1697,44.26
2025-05-25,2801.85,53.99,47.24,2358.49,4235.39,85,1631,44.36
2025-05-26,2813.93,53.65,47.25,1110.69,2433.19,108,1684,43.97
2025-05-27,2882.59,53.22,47.08,2776.57,4261.61,77,1710,43.37
2025-05-28,2887.88,54.83,47.63,6273.27,3644.32,101,1673,45.96
2025-05-29,2777.99,53.32,47.06,3405.64,2629.72,94,1651,43.36
2025-05-30,2870.44,53.4,47.2,3984.44,3030.81,98,1707,43.9
2025-05-31,2861.85,54.42,47.58,1620.9,4267.13,87,1672,45.27
2025-06-01,2723.08,53.24,47.23,2929.56,3360.11,87,1626,43.83
2025-06-02,2832.13,52.89,46.78,5975.52,2822.24,78,1702,42.64
2025-06-03,2945.27,53.73,47.28,2191.31,2333.4,82,1740,44.22
2025-06-04,2905.67,54.42,47.53,2607.75,3085.52,77,1708,44.9
2025-06-05,2786.16,54.01,47.24,4103.96,2364.51,71,1644,44.41
2025-06-06,2714.31,53.13,46.94,4727.27,1529.43,81,1619,43.03
2025-06-07,2767.73,53.46,47.12,759.04,2961.52,87,1635,43.92
2025-06-08,2830.23,54.15,47.44,2300.47,3075.59,97,1672,44.75
2025-06-09,2864.98,53.96,47.18,4710.14,4212.82,85,1691,44.21
2025-06-10,2930.14,53.85,47.21,1789.87,3065.54,89,1723,44.26
2025-06-11,2874.51,54.1,47.43,3035.7,2598.62,105,1689,44.7
2025-06-12,2823.86,54.47,47.51,-924.53,4137.01,94,1657,44.88
2025-06-13,2675.02,53.5,47.14,3543.11,2640.27,87,1590,43.77
2025-06-14,2688.63,54.0,47.4,3935.09,505.06,83,1584,44.62
2025-06-15,2781.88,52.1,46.71,2307.77,2552.99,72,1685,41.94
2025-06-16,2890.77,53.77,47.37,3910.14,2363.32,88,1709,44.21
2025-06-17,2878.41,53.51,47.19,-976.93,3015.82,86,1706,43.6
2025-06-18,2949.07,54.02,47.2,1460.55,3239.05,98,1741,44.52
2025-06-19,2792.43,52.77,46.98,1382.94,4028.69,82,1673,43.12
2025-06-20,2792.3,53.11,46.92,5046.77,2595.84,76,1662,43.12
2025-06-21,2849.29,53.62,47.15,3834.72,3006.59,95,1698,43.96
2025-06-22,2828.44,53.78,47.25,3987.78,3615.69,111,1684,44.31
2025-06-23,2950.36,54.69,47.56,5069.81,4420.89,100,1715,45.37
2025-06-24,2735.8,53.8,47.19,332.28,1684.86,96,1614,44.15
2025-06-25,2816.87,52.52,46.82,-531.26,3502.32,87,1695,42.47
2025-06-26,2835.62,53.51,47.2,3679.65,3364.06,67,1687,43.86
2025-06-27,2870.72,53.06,46.99,1460.42,3726.64,70,1722,43.15
2025-06-28,2911.43,54.29,47.31,3837.76,2352.3,102,1700,44.75
