event_id,timestamp,region,substation_id,transformer_id,latitude,longitude,voltage_kv,current_amp,power_mw,frequency_hz,load_percent,power_factor,temperature_c,energy_generated_mwh,energy_consumed_mwh,outage_duration_min,communication_latency_ms,fault_indicator,anomaly_score,risk_score,status,anomaly_type,ingestion_time,ingestion_batch,voltage_deviation_kv,frequency_deviation_hz,power_quality_score,voltage_stability_score,calculated_power_mw,transmission_efficiency,load_percent_zscore,temperature_c_zscore,power_mw_zscore,transformation_time,silver_version,anomaly_flag,hour_of_day,date
EVT-0041760,2025-06-28 23:41:17.345878,West,SUB-007,TR-007003,18.5204,73.8567,36.38,57.93,1.77,49.71,70.0,0.84,56.0,10.53,-8.65,0.0,8.37,0,0.2304,72,High Risk,Frequency Deviation,2026-09-05T19:42:40.361482,batch_001,-3.62,-0.29,60.0,81.9,1.77,-121.7,0.73,1.143,0.125,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0010107,2025-06-28 23:38:00.079550,North,SUB-024,TR-024013,26.7461,78.9824,39.97,11.75,0.45,49.91,17.39,0.9512,37.16,-60.43,12.0,0.0,5.38,0,0.02,4,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-0.03,-0.09,87.8,99.8,0.45,-503.6,-1.622,-1.309,-1.896,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0024720,2025-06-28 23:37:58.815340,East,SUB-012,TR-012002,23.2599,77.4126,39.35,19.79,0.74,50.03,25.25,0.9504,38.75,71.36,10.27,0.0,3.55,0,0.0322,7,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-0.65,0.03,87.6,96.8,0.74,694.8,-1.271,-1.102,-1.452,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0082578,2025-06-28 23:37:10.630343,North-East,SUB-018,TR-018018,29.0588,76.0231,40.0,36.75,1.4,49.98,40.0,0.9508,44.0,58.82,-21.26,0.0,6.07,0,0.004,18,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.0,-0.02,87.7,100.0,1.4,-276.7,-0.612,-0.419,-0.442,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0124660,2025-06-28 23:36:48.261096,North-East,SUB-027,TR-027007,28.5355,76.2346,40.58,18.56,0.71,50.05,15.0,0.9475,38.34,3.02,26.6,0.0,2.17,0,0.0332,5,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.58,0.05,86.9,97.1,0.71,11.4,-1.729,-1.156,-1.498,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0035164,2025-06-28 23:36:07.019480,Central,SUB-015,TR-015019,25.3948,79.4625,43.54,51.76,2.03,49.82,58.0,0.9,50.0,14.94,44.19,0.0,11.01,0,0.1784,58,Warning,Voltage Fluctuation,2026-09-05T19:42:40.361482,batch_001,3.54,-0.18,75.0,82.3,2.03,33.8,0.193,0.362,0.523,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0045271,2025-06-28 23:35:09.510138,South,SUB-026,TR-026016,17.3618,78.531,43.32,54.83,2.14,50.25,58.0,0.9,50.0,-25.49,-16.55,0.0,4.8,0,0.183,61,Warning,Frequency Deviation,2026-09-05T19:42:40.361482,batch_001,3.32,0.25,75.0,83.4,2.14,154.0,0.193,0.362,0.691,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0138128,2025-06-28 23:32:32.984476,West,SUB-019,TR-019018,22.3167,78.03,40.17,30.68,1.15,49.95,26.41,0.9349,38.79,145.13,14.98,0.0,12.0,0,0.0175,7,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.17,-0.05,83.7,99.2,1.15,968.8,-1.219,-1.097,-0.824,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0107823,2025-06-28 23:32:10.059708,North,SUB-003,TR-003013,32.3246,74.7901,43.0,65.59,2.51,49.75,58.0,0.8911,50.0,51.97,42.22,0.0,4.29,0,0.1722,60,Warning,Generation Drop,2026-09-05T19:42:40.361482,batch_001,3.0,-0.25,72.8,85.0,2.51,123.1,0.193,0.362,1.257,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0137800,2025-06-28 23:31:03.290287,Central,SUB-015,TR-015015,25.3948,79.4625,43.14,51.07,1.98,49.8,58.0,0.8994,50.0,-55.36,2.45,0.0,14.42,0,0.1652,54,Warning,Generation Drop,2026-09-05T19:42:40.361482,batch_001,3.14,-0.2,74.8,84.3,1.98,-2259.6,0.193,0.362,0.446,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0103764,2025-06-28 23:30:22.343848,West,SUB-019,TR-019006,22.3167,78.03,39.52,36.49,1.35,49.96,40.0,0.9396,44.0,-57.17,1.79,0.0,4.45,0,0.0282,19,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-0.48,-0.04,84.9,97.6,1.35,-3193.9,-0.612,-0.419,-0.518,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0079891,2025-06-28 23:27:50.657527,South,SUB-009,TR-009012,17.385,78.4867,39.72,33.47,1.28,50.06,40.0,0.9647,44.0,-85.13,29.65,0.0,16.09,0,0.0238,24,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-0.28,0.06,91.2,98.6,1.28,-287.1,-0.612,-0.419,-0.625,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0018868,2025-06-28 23:26:53.520705,South,SUB-010,TR-010015,12.9716,77.5946,37.68,49.03,1.66,49.78,58.0,0.9,50.0,-19.92,-6.05,0.0,8.85,0,0.136,52,Warning,Overload,2026-09-05T19:42:40.361482,batch_001,-2.32,-0.22,75.0,88.4,1.66,329.3,0.193,0.362,-0.044,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0062701,2025-06-28 23:25:33.365854,South,SUB-026,TR-026001,17.3618,78.531,37.11,43.21,1.44,49.77,58.0,0.9,50.0,81.88,-4.76,0.0,6.32,0,0.1622,55,Warning,Overload,2026-09-05T19:42:40.361482,batch_001,-2.89,-0.23,75.0,85.6,1.44,-1720.2,0.193,0.362,-0.381,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0087735,2025-06-28 23:25:08.347000,Central,SUB-016,TR-016018,24.8688,76.6562,35.71,71.14,1.84,49.65,85.0,0.7249,63.0,53.88,26.83,0.0,29.81,0,0.492,87,Critical,Compound Anomaly,2026-09-05T19:42:40.361482,batch_001,-4.29,-0.35,31.2,78.6,1.84,200.8,1.4,2.054,0.232,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0061892,2025-06-28 23:23:23.637323,West,SUB-006,TR-006020,23.0225,72.5799,43.45,59.86,2.09,50.3,70.0,0.8028,56.0,31.97,-25.09,0.0,37.73,0,0.2385,75,High Risk,Generation Drop,2026-09-05T19:42:40.361482,batch_001,3.45,0.3,50.7,82.8,2.09,-127.4,0.73,1.143,0.614,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0038985,2025-06-28 23:23:04.670770,South,SUB-008,TR-008010,13.0827,80.2707,40.3,36.87,1.43,49.99,40.0,0.9607,44.0,92.65,35.97,0.0,4.93,0,0.0141,18,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.3,-0.01,90.2,98.5,1.43,257.6,-0.612,-0.419,-0.396,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0044797,2025-06-28 23:22:43.416527,Central,SUB-015,TR-015020,25.3948,79.4625,36.85,48.69,1.37,50.25,58.0,0.764,50.0,-66.25,19.71,0.0,7.16,0,0.2208,59,Warning,Power Factor Anomaly,2026-09-05T19:42:40.361482,batch_001,-3.15,0.25,41.0,84.2,1.37,-336.1,0.193,0.362,-0.488,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0100334,2025-06-28 23:22:27.821993,West,SUB-019,TR-019002,22.3167,78.03,40.49,30.3,1.18,50.0,23.59,0.9622,39.2,35.68,-28.96,0.0,1.18,0,0.0204,7,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.49,0.0,90.6,97.6,1.18,-123.2,-1.345,-1.044,-0.779,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0032090,2025-06-28 23:21:16.955156,North,SUB-029,TR-029007,26.9124,75.7873,42.84,59.65,2.27,50.24,58.0,0.8889,50.0,6.75,2.06,0.0,5.15,0,0.1659,56,Warning,Generation Drop,2026-09-05T19:42:40.361482,batch_001,2.84,0.24,72.2,85.8,2.27,327.7,0.193,0.362,0.89,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0136587,2025-06-28 23:20:55.471897,West,SUB-006,TR-006009,23.0225,72.5799,39.18,18.5,0.65,49.9,15.38,0.9,36.74,-49.6,-8.12,0.0,3.62,0,0.053,6,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-0.82,-0.1,75.0,95.9,0.65,610.8,-1.712,-1.364,-1.59,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0030482,2025-06-28 23:20:12.381499,North-East,SUB-017,TR-017003,28.296,76.592,40.17,20.68,0.78,50.1,19.41,0.945,39.08,-25.13,-13.61,0.0,1.91,0,0.027,5,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.17,0.1,86.2,99.2,0.79,184.6,-1.532,-1.059,-1.391,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0039984,2025-06-28 23:19:31.426800,South,SUB-026,TR-026005,17.3618,78.531,39.0,21.83,0.81,50.02,24.7,0.9474,40.47,-21.19,-28.88,0.0,6.06,0,0.0445,14,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-1.0,0.02,86.9,95.0,0.81,73.4,-1.296,-0.878,-1.345,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0020943,2025-06-28 23:18:33.559800,North-East,SUB-018,TR-018004,29.0588,76.0231,37.19,55.24,1.72,49.77,70.0,0.8371,56.0,-99.63,3.67,0.0,14.01,0,0.1878,69,Warning,Frequency Deviation,2026-09-05T19:42:40.361482,batch_001,-2.81,-0.23,59.3,86.0,1.72,-2714.7,0.73,1.143,0.048,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0064951,2025-06-28 23:17:33.237958,South,SUB-022,TR-022014,15.2993,74.124,37.58,50.48,1.62,49.81,58.0,0.8563,50.0,-25.99,27.5,0.0,3.15,0,0.1501,53,Warning,Power Factor Anomaly,2026-09-05T19:42:40.361482,batch_001,-2.42,-0.19,64.1,87.9,1.62,-94.5,0.193,0.362,-0.105,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0118227,2025-06-28 23:17:18.809962,North,SUB-002,TR-002003,26.9124,75.7873,45.11,73.24,2.58,50.31,85.0,0.78,63.0,19.13,-36.32,12.15,12.44,0,0.4981,89,Critical,Voltage Fluctuation,2026-09-05T19:42:40.361482,batch_001,5.11,0.31,45.0,74.4,2.58,-52.7,1.4,2.054,1.364,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0099480,2025-06-28 23:17:18.703450,Central,SUB-014,TR-014002,26.8206,80.2701,40.47,20.57,0.77,49.98,16.2,0.9307,38.27,49.2,-17.15,0.0,2.32,0,0.023,1,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.47,-0.02,82.7,97.6,0.77,-286.9,-1.676,-1.165,-1.406,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0132296,2025-06-28 23:16:53.349454,South,SUB-022,TR-022005,15.2993,74.124,43.53,52.93,2.05,50.16,58.0,0.8902,50.0,39.62,-11.68,0.0,28.72,0,0.1762,57,Warning,Voltage Fluctuation,2026-09-05T19:42:40.361482,batch_001,3.53,0.16,72.6,82.4,2.05,-339.2,0.193,0.362,0.553,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0029017,2025-06-28 23:16:37.284171,Central,SUB-028,TR-028016,20.2884,76.2009,37.17,58.99,1.81,50.24,58.0,0.8257,50.0,-32.13,6.83,0.0,14.37,1,0.3863,69,Warning,Transformer Fault,2026-09-05T19:42:40.361482,batch_001,-2.83,0.24,56.4,85.8,1.81,-470.4,0.193,0.362,0.186,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0003899,2025-06-28 23:15:34.658041,East,SUB-020,TR-020014,25.5941,82.472,40.35,28.21,1.09,50.03,22.7,0.9555,39.35,32.96,-16.87,0.0,4.46,0,0.0196,6,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.35,0.03,88.9,98.2,1.09,-195.4,-1.385,-1.024,-0.916,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0067067,2025-06-28 23:15:15.726411,North,SUB-003,TR-003019,32.3246,74.7901,42.3,53.23,2.03,49.74,58.0,0.9,50.0,58.64,3.78,0.0,38.0,0,0.1441,54,Warning,Generation Drop,2026-09-05T19:42:40.361482,batch_001,2.3,-0.26,75.0,88.5,2.03,1551.3,0.193,0.362,0.523,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0080079,2025-06-28 23:14:49.575912,West,SUB-006,TR-006012,23.0225,72.5799,40.48,23.43,0.9,50.0,23.62,0.9467,41.78,75.91,56.9,0.0,2.51,0,0.0192,9,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.48,0.0,86.7,97.6,0.9,133.4,-1.344,-0.708,-1.207,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0003895,2025-06-28 23:14:44.686160,Central,SUB-015,TR-015010,25.3948,79.4625,37.56,50.35,1.62,50.17,58.0,0.8587,50.0,-60.56,21.51,62.73,8.63,0,0.1449,54,Warning,Overload,2026-09-05T19:42:40.361482,batch_001,-2.44,0.17,64.7,87.8,1.62,-281.5,0.193,0.362,-0.105,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0037385,2025-06-28 23:11:31.210636,East,SUB-012,TR-012012,23.2599,77.4126,40.82,22.04,0.85,50.08,25.96,0.9483,44.58,-48.11,28.22,0.0,7.53,0,0.0491,13,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,0.82,0.08,87.1,95.9,0.85,-170.5,-1.239,-0.343,-1.284,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0142952,2025-06-28 23:11:02.979836,North,SUB-004,TR-004020,25.2048,77.3948,44.85,76.18,2.08,49.68,85.0,0.6094,63.0,18.42,-22.6,0.0,8.46,1,0.7463,100,Critical,Compound Anomaly,2026-09-05T19:42:40.361482,batch_001,4.85,-0.32,2.4,75.8,2.08,-81.5,1.4,2.054,0.599,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0104802,2025-06-28 23:09:28.582572,West,SUB-005,TR-005009,19.076,72.8777,43.65,63.16,2.32,49.8,70.0,0.84,56.0,-6.89,-8.82,0.0,12.19,1,0.4141,81,High Risk,Transformer Fault,2026-09-05T19:42:40.361482,batch_001,3.65,-0.2,60.0,81.8,2.32,78.1,0.73,1.143,0.967,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0033217,2025-06-28 23:09:15.242192,West,SUB-021,TR-021009,19.6776,72.7323,37.37,67.73,2.07,49.81,70.0,0.8165,56.0,-16.42,16.78,0.0,4.08,0,0.1784,63,Warning,Transformer Fault,2026-09-05T19:42:40.361482,batch_001,-2.63,-0.19,54.1,86.8,2.07,-97.9,0.73,1.143,0.584,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0083213,2025-06-28 23:09:09.354077,South,SUB-008,TR-008005,13.0827,80.2707,36.98,54.52,1.72,49.84,58.0,0.8549,50.0,124.32,-40.49,0.0,7.02,0,0.1677,61,Warning,Temperature Spike,2026-09-05T19:42:40.361482,batch_001,-3.02,-0.16,63.7,84.9,1.72,-307.0,0.193,0.362,0.048,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0144096,2025-06-28 23:07:44.742177,West,SUB-005,TR-005012,19.076,72.8777,39.74,16.51,0.6,49.91,20.69,0.9188,39.27,56.28,4.21,0.0,2.6,0,0.0281,8,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-0.26,-0.09,79.7,98.7,0.6,1336.8,-1.475,-1.034,-1.666,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0120579,2025-06-28 23:06:09.236664,South,SUB-010,TR-010011,12.9716,77.5946,41.0,25.92,0.99,50.03,16.08,0.9306,39.43,-70.77,35.19,0.0,3.13,0,0.0467,10,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,1.0,0.03,82.6,95.0,0.99,-201.1,-1.681,-1.014,-1.069,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0101960,2025-06-28 23:04:21.988162,West,SUB-021,TR-021008,19.6776,72.7323,43.1,62.65,2.27,49.81,70.0,0.84,56.0,78.3,4.02,0.0,7.81,0,0.1897,71,High Risk,Generation Drop,2026-09-05T19:42:40.361482,batch_001,3.1,-0.19,60.0,84.5,2.27,1947.8,0.73,1.143,0.89,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0141655,2025-06-28 23:04:04.933844,West,SUB-019,TR-019015,22.3167,78.03,39.0,27.82,1.02,49.9,23.01,0.9375,40.29,26.57,5.45,0.0,12.0,0,0.06,10,Normal,Normal,2026-09-05T19:42:40.361482,batch_001,-1.0,-0.1,84.4,95.0,1.02,487.5,-1.371,-0.902,-1.023,2026-09-05T19:42:42.027189,1.0,0,23,2025-06-28
EVT-0098120,2025-06-28 23:03:41.310758,East,SUB-011,TR-011005,22.5726,88.3639,36.83,40.04,1.33,49.81,58.0,0.9,50.0,-45.63,-3.49,0.0,6.71,1,0.3647,65,Warning,Transformer Fault,2026-09-05T19:42:40.361482,batch_001,-3.17,-0.19,75.0,84.2,1.33,1307.4,0.193,0.362,-0.549,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0117091,2025-06-28 23:02:39.405153,North,SUB-004,TR-004012,25.2048,77.3948,43.43,60.11,2.35,49.76,58.0,0.9,50.0,45.68,16.63,0.0,5.89,0,0.1847,54,Warning,Generation Drop,2026-09-05T19:42:40.361482,batch_001,3.43,-0.24,75.0,82.8,2.35,274.7,0.193,0.362,1.012,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
EVT-0056132,2025-06-28 23:02:26.747672,South,SUB-010,TR-010013,12.9716,77.5946,35.47,71.72,1.63,49.57,85.0,0.6399,63.0,62.1,-0.37,0.0,8.86,0,0.5459,89,Critical,Voltage Fluctuation,2026-09-05T19:42:40.361482,batch_001,-4.53,-0.43,10.0,77.4,1.63,-16783.8,1.4,2.054,-0.09,2026-09-05T19:42:42.027189,1.0,1,23,2025-06-28
