transformer_id,substation_id,region,avg_load_percent,avg_temperature_c,avg_voltage_kv,avg_power_factor,avg_risk_score,max_risk_score,distinct_anomaly_types,total_faults
TR-027008,SUB-027,North-East,88.99,62.26,39.73,0.76,93.83,100,8,23
TR-027006,SUB-027,North-East,87.93,59.41,39.98,0.77,90.73,100,7,8
TR-003013,SUB-003,North,90.36,62.05,38.8,0.75,93.93,100,7,13
TR-003011,SUB-003,North,91.13,63.55,39.25,0.74,93.78,100,7,6
TR-003010,SUB-003,North,87.95,62.23,40.07,0.75,91.93,100,7,11
TR-003008,SUB-003,North,87.54,61.83,39.56,0.76,91.27,100,8,9
TR-003006,SUB-003,North,89.47,61.9,41.09,0.74,91.36,100,5,3
TR-003005,SUB-003,North,88.81,62.19,40.14,0.74,92.98,100,9,18
TR-003004,SUB-003,North,88.61,62.45,39.41,0.75,94.1,100,7,21
TR-003003,SUB-003,North,89.0,61.86,39.48,0.74,92.33,100,7,16
TR-003002,SUB-003,North,87.86,61.26,39.04,0.74,92.39,100,7,13
TR-003001,SUB-003,North,88.32,61.78,40.73,0.76,91.32,100,8,9
TR-002019,SUB-002,North,89.96,62.79,41.17,0.74,92.06,100,6,5
TR-004010,SUB-004,North,88.55,62.17,39.81,0.75,93.89,100,10,27
TR-004009,SUB-004,North,88.09,61.85,39.34,0.75,92.74,100,8,14
TR-004008,SUB-004,North,87.9,61.72,39.75,0.76,91.93,100,8,22
TR-004007,SUB-004,North,87.48,61.94,41.19,0.78,90.56,100,8,6
TR-004006,SUB-004,North,89.1,61.85,40.12,0.74,92.77,100,8,22
TR-004005,SUB-004,North,89.55,61.83,39.89,0.74,92.94,100,7,8
TR-004002,SUB-004,North,88.79,60.51,41.35,0.76,92.4,100,6,5
TR-003019,SUB-003,North,88.0,61.39,40.48,0.76,91.1,100,7,10
TR-003018,SUB-003,North,88.62,61.48,39.3,0.77,91.79,100,8,6
TR-003017,SUB-003,North,99.78,67.82,39.95,0.71,100.0,100,1,4
TR-003016,SUB-003,North,88.01,62.56,39.62,0.74,93.26,100,8,22
TR-027005,SUB-027,North-East,89.93,63.19,41.11,0.76,92.74,100,7,8
TR-027003,SUB-027,North-East,89.99,63.57,40.31,0.74,94.43,100,9,24
TR-027002,SUB-027,North-East,88.07,62.52,40.33,0.74,94.95,100,9,50
TR-026018,SUB-026,South,90.65,63.66,38.71,0.73,94.93,100,8,15
TR-026016,SUB-026,South,88.4,61.96,39.98,0.75,93.66,100,8,20
TR-026014,SUB-026,South,87.88,62.02,40.23,0.73,92.26,100,7,13
TR-026012,SUB-026,South,89.02,61.79,39.85,0.76,92.77,100,9,21
TR-026010,SUB-026,South,89.13,62.35,39.96,0.74,93.72,100,8,21
TR-026009,SUB-026,South,88.55,64.08,37.98,0.73,93.61,100,6,5
TR-005010,SUB-005,West,88.25,63.02,39.88,0.74,93.93,100,9,22
TR-005009,SUB-005,West,89.23,61.09,42.3,0.76,91.79,100,6,6
TR-005008,SUB-005,West,88.88,62.1,40.45,0.75,92.67,100,9,12
TR-005006,SUB-005,West,87.23,60.72,40.26,0.77,91.61,100,8,15
TR-005004,SUB-005,West,88.55,63.13,39.71,0.73,95.73,100,10,49
TR-005003,SUB-005,West,87.39,61.66,41.53,0.75,89.41,100,6,4
TR-005002,SUB-005,West,88.98,62.67,39.0,0.74,91.79,100,6,6
TR-005001,SUB-005,West,87.63,62.08,40.41,0.76,93.14,100,10,20
TR-004020,SUB-004,North,88.83,61.51,39.92,0.75,91.49,100,8,13
TR-004019,SUB-004,North,88.1,63.02,40.0,0.74,95.27,100,9,40
TR-004016,SUB-004,North,91.88,63.88,40.18,0.77,94.88,100,3,3
TR-004014,SUB-004,North,91.6,64.87,38.74,0.73,93.88,100,5,5
TR-006006,SUB-006,West,85.0,63.9,38.98,0.74,94.6,100,3,3
TR-006005,SUB-006,West,90.6,63.75,38.79,0.75,94.8,100,3,3
TR-006003,SUB-006,West,89.13,61.83,40.52,0.75,93.86,100,10,29
TR-006002,SUB-006,West,85.94,59.38,39.04,0.79,89.44,100,6,7
TR-006001,SUB-006,West,88.79,59.94,40.82,0.76,93.27,100,6,15
TR-005020,SUB-005,West,86.69,61.89,40.95,0.74,92.42,100,8,20
TR-005017,SUB-005,West,87.83,60.56,39.69,0.79,92.0,100,6,13
TR-005015,SUB-005,West,89.36,61.16,39.81,0.75,90.39,100,7,5
TR-005014,SUB-005,West,87.2,61.33,39.38,0.75,92.68,100,6,12
TR-005013,SUB-005,West,88.67,60.52,39.37,0.75,92.2,100,7,5
TR-005012,SUB-005,West,89.3,62.38,39.08,0.74,91.72,100,7,6
TR-026008,SUB-026,South,88.36,62.03,39.8,0.75,93.6,100,8,27
TR-026005,SUB-026,South,89.12,62.33,39.92,0.74,92.18,100,7,10
TR-026004,SUB-026,South,89.02,62.68,39.88,0.74,94.63,100,9,32
TR-026002,SUB-026,South,89.18,61.75,38.27,0.75,92.0,100,4,7
TR-026001,SUB-026,South,85.56,60.58,38.97,0.78,89.6,100,5,5
TR-025020,SUB-025,West,88.28,61.4,39.1,0.76,92.43,100,7,20
TR-025019,SUB-025,West,89.29,62.96,39.44,0.76,90.93,100,6,3
TR-025018,SUB-025,West,88.26,61.74,39.17,0.76,93.06,100,7,20
TR-025017,SUB-025,West,88.75,62.87,40.43,0.75,93.1,100,9,17
TR-025015,SUB-025,West,87.3,62.47,39.78,0.74,93.78,100,6,19
TR-025012,SUB-025,West,91.82,63.48,38.27,0.71,93.75,100,4,2
TR-007003,SUB-007,West,88.97,62.36,40.4,0.77,91.5,100,6,6
TR-007001,SUB-007,West,89.5,61.45,39.61,0.76,91.47,100,7,8
TR-006020,SUB-006,West,88.8,62.41,40.5,0.76,93.28,100,8,22
TR-006019,SUB-006,West,87.04,63.46,40.17,0.74,91.41,100,9,9
TR-006018,SUB-006,West,90.33,62.74,40.45,0.73,94.29,100,8,17
TR-006017,SUB-006,West,88.41,62.17,41.3,0.74,92.63,100,8,19
TR-006015,SUB-006,West,90.2,62.09,40.04,0.74,93.0,100,6,6
TR-006014,SUB-006,West,87.7,61.49,39.96,0.75,92.81,100,8,28
TR-006011,SUB-006,West,88.3,62.55,40.17,0.77,91.74,100,7,9
TR-006008,SUB-006,West,90.0,62.5,38.75,0.74,92.39,100,8,10
TR-007020,SUB-007,West,91.8,62.75,40.78,0.72,96.08,100,4,6
TR-007019,SUB-007,West,88.46,62.81,40.0,0.76,91.95,100,8,12
TR-007017,SUB-007,West,89.75,61.72,38.09,0.77,92.85,100,6,10
TR-007014,SUB-007,West,90.47,61.35,38.26,0.77,94.22,100,5,8
TR-007011,SUB-007,West,87.91,61.97,40.88,0.77,91.05,100,8,5
TR-007010,SUB-007,West,89.62,62.05,39.74,0.73,93.35,100,6,18
TR-007009,SUB-007,West,89.57,61.06,39.89,0.78,89.47,100,5,3
TR-007005,SUB-007,West,87.94,61.46,40.04,0.75,92.5,100,7,14
TR-007004,SUB-007,West,89.13,60.46,40.1,0.76,91.19,100,8,6
TR-025011,SUB-025,West,89.17,61.04,40.6,0.77,91.17,100,3,2
TR-025010,SUB-025,West,89.34,61.91,40.3,0.76,93.09,100,7,17
TR-025009,SUB-025,West,85.67,60.03,40.12,0.75,89.67,100,5,6
TR-025007,SUB-025,West,89.5,63.72,39.05,0.74,95.05,100,9,34
TR-025006,SUB-025,West,88.02,62.0,40.79,0.75,93.05,100,9,20
TR-025005,SUB-025,West,90.38,62.7,40.01,0.74,93.46,100,6,4
TR-025004,SUB-025,West,91.02,62.42,39.72,0.74,93.94,100,6,8
TR-025002,SUB-025,West,89.96,63.23,41.34,0.75,93.52,100,7,10
TR-024016,SUB-024,North,88.33,62.17,39.69,0.75,94.58,100,9,50
TR-008017,SUB-008,South,90.06,61.16,41.27,0.77,91.9,100,5,2
TR-008016,SUB-008,South,89.68,64.49,38.94,0.75,90.38,100,3,1
TR-008014,SUB-008,South,88.92,60.53,41.31,0.76,91.0,100,7,5
TR-008008,SUB-008,South,88.56,61.83,40.57,0.77,92.1,100,3,3
TR-008005,SUB-008,South,90.38,62.14,40.5,0.75,94.53,100,8,29
TR-008004,SUB-008,South,87.52,61.83,40.35,0.75,93.31,100,9,34
TR-008002,SUB-008,South,88.23,61.47,39.3,0.77,92.83,100,6,7
TR-008001,SUB-008,South,87.55,60.15,39.74,0.76,90.65,100,7,7
TR-024008,SUB-024,North,89.67,62.37,40.4,0.74,93.18,100,9,25
TR-024006,SUB-024,North,92.46,64.31,40.32,0.72,94.85,100,5,8
TR-024002,SUB-024,North,87.79,62.5,40.2,0.75,93.82,100,10,39
TR-023020,SUB-023,East,86.86,62.04,38.61,0.76,92.0,100,6,6
TR-023018,SUB-023,East,88.49,61.48,39.46,0.74,92.5,100,7,8
TR-023014,SUB-023,East,88.96,62.69,39.73,0.74,93.22,100,8,14
TR-009012,SUB-009,South,90.1,63.34,41.04,0.76,91.0,100,6,1
TR-009011,SUB-009,South,88.46,61.75,39.3,0.75,92.26,100,8,17
TR-009010,SUB-009,South,87.93,61.64,40.15,0.75,91.9,100,7,12
TR-009009,SUB-009,South,89.09,60.96,40.54,0.79,91.1,100,6,4
TR-009007,SUB-009,South,89.36,60.69,37.64,0.78,89.82,100,6,4
TR-009006,SUB-009,South,87.83,62.06,41.41,0.76,91.94,100,8,7
TR-009005,SUB-009,South,90.99,61.99,40.64,0.72,95.23,100,6,7
TR-009004,SUB-009,South,88.51,61.62,39.72,0.75,91.16,100,8,6
TR-009003,SUB-009,South,90.05,63.09,41.14,0.74,92.2,100,5,2
TR-009001,SUB-009,South,89.24,61.45,39.78,0.76,93.1,100,8,22
TR-008019,SUB-008,South,88.5,62.87,40.47,0.76,93.0,100,8,19
TR-023013,SUB-023,East,89.17,62.28,39.95,0.74,93.87,100,9,30
TR-023012,SUB-023,East,89.29,62.43,39.55,0.72,93.49,100,7,15
TR-023011,SUB-023,East,89.26,62.76,39.9,0.73,93.31,100,7,14
TR-023009,SUB-023,East,89.1,62.74,40.09,0.73,95.02,100,7,34
TR-023006,SUB-023,East,90.3,62.44,40.07,0.74,94.56,100,8,20
TR-023005,SUB-023,East,87.32,61.76,40.71,0.75,90.66,100,8,8
TR-023004,SUB-023,East,90.2,62.72,40.07,0.76,93.12,100,8,9
TR-023003,SUB-023,East,89.14,61.91,39.26,0.76,92.03,100,7,12
TR-023002,SUB-023,East,91.03,62.42,40.44,0.73,93.74,100,7,8
TR-023001,SUB-023,East,89.05,61.79,40.13,0.74,90.78,100,7,8
TR-022018,SUB-022,South,88.67,62.95,39.9,0.74,95.58,100,9,56
TR-010011,SUB-010,South,90.7,62.62,38.24,0.74,93.72,100,6,8
TR-010010,SUB-010,South,88.62,60.93,38.81,0.76,91.93,100,7,13
TR-010007,SUB-010,South,88.7,60.14,39.91,0.79,90.84,100,7,6
TR-010006,SUB-010,South,87.77,60.85,39.78,0.76,89.79,100,5,5
TR-010005,SUB-010,South,90.5,62.76,39.75,0.73,93.5,100,7,12
TR-010002,SUB-010,South,87.82,61.04,39.35,0.75,88.44,100,6,2
TR-009016,SUB-009,South,90.1,62.78,40.07,0.75,94.51,100,8,20
TR-009015,SUB-009,South,89.33,62.82,39.57,0.75,93.33,100,8,14
TR-011009,SUB-011,East,93.91,62.38,38.12,0.77,96.67,100,2,4
TR-011007,SUB-011,East,89.53,62.32,41.67,0.73,92.75,100,6,4
TR-011006,SUB-011,East,89.88,61.57,40.49,0.76,92.77,100,8,10
TR-011004,SUB-011,East,89.74,62.72,39.91,0.73,92.81,100,7,12
TR-011003,SUB-011,East,90.55,63.09,40.2,0.74,93.53,100,6,16
TR-010020,SUB-010,South,87.5,61.51,39.49,0.76,91.31,100,7,12
TR-010018,SUB-010,South,89.87,61.86,42.18,0.76,92.93,100,6,8
TR-010017,SUB-010,South,86.79,60.31,39.31,0.76,90.19,100,5,9
TR-010015,SUB-010,South,86.29,60.13,42.14,0.77,90.91,100,3,6
TR-010014,SUB-010,South,88.02,61.92,40.79,0.76,90.85,100,5,3
TR-010013,SUB-010,South,87.71,61.35,41.31,0.74,90.2,100,3,3
TR-022017,SUB-022,South,89.96,62.23,38.76,0.78,95.21,100,5,8
TR-022016,SUB-022,South,90.02,62.03,40.34,0.76,91.84,100,7,7
TR-022014,SUB-022,South,90.46,62.14,39.2,0.74,92.78,100,5,9
TR-022012,SUB-022,South,89.4,62.39,40.01,0.77,92.1,100,8,6
TR-022011,SUB-022,South,87.69,60.78,40.73,0.77,90.1,100,4,3
TR-022010,SUB-022,South,89.4,62.4,39.63,0.74,94.38,100,7,17
TR-022007,SUB-022,South,89.69,63.1,38.37,0.74,93.58,100,5,6
TR-022006,SUB-022,South,87.23,60.95,39.05,0.75,90.85,100,7,6
TR-022005,SUB-022,South,88.98,60.94,40.65,0.76,93.13,100,7,5
TR-022004,SUB-022,South,90.33,61.44,39.37,0.75,92.16,100,5,13
TR-022003,SUB-022,South,88.42,62.43,39.62,0.74,94.12,100,8,37
TR-012005,SUB-012,East,87.42,61.81,39.99,0.73,91.83,100,4,3
TR-011020,SUB-011,East,88.83,61.98,41.17,0.76,92.83,100,5,7
TR-011019,SUB-011,East,88.54,60.74,38.89,0.77,92.45,100,5,6
TR-011016,SUB-011,East,87.47,61.84,39.61,0.77,91.92,100,7,11
TR-011015,SUB-011,East,90.33,63.01,39.32,0.76,94.34,100,9,13
TR-011014,SUB-011,East,88.72,62.49,40.49,0.74,94.26,100,9,40
TR-011013,SUB-011,East,89.7,62.55,39.24,0.78,91.08,100,5,4
TR-011012,SUB-011,East,89.68,62.02,40.35,0.74,92.18,100,5,4
TR-011010,SUB-011,East,91.22,62.6,40.25,0.75,93.82,100,5,3
TR-021018,SUB-021,West,89.93,61.81,39.78,0.74,92.12,100,6,7
TR-021017,SUB-021,West,90.03,61.96,39.75,0.72,92.12,100,8,6
TR-021016,SUB-021,West,88.96,61.78,39.66,0.75,92.04,100,8,16
TR-021015,SUB-021,West,89.31,61.75,40.27,0.76,92.24,100,7,10
TR-021013,SUB-021,West,88.98,62.57,39.93,0.75,92.52,100,8,15
TR-021011,SUB-021,West,88.74,62.29,40.13,0.75,93.36,100,9,32
TR-021010,SUB-021,West,87.92,61.42,39.89,0.75,92.12,100,7,18
TR-021008,SUB-021,West,89.62,62.44,39.54,0.76,93.17,100,7,15
TR-021007,SUB-021,West,87.76,61.92,40.82,0.74,90.6,100,7,5
TR-013001,SUB-013,East,88.39,62.93,40.1,0.74,94.97,100,9,44
TR-012020,SUB-012,East,88.73,62.09,39.58,0.73,93.39,100,8,20
TR-012019,SUB-012,East,87.32,61.43,39.16,0.78,90.6,100,6,8
TR-012018,SUB-012,East,88.97,62.07,39.6,0.75,92.74,100,7,11
TR-012017,SUB-012,East,87.57,62.08,41.07,0.74,89.62,100,7,3
TR-012016,SUB-012,East,90.87,63.94,39.23,0.72,95.6,100,5,5
TR-012015,SUB-012,East,88.71,61.28,39.72,0.75,90.86,100,5,9
TR-012013,SUB-012,East,88.05,61.57,40.72,0.76,92.27,100,8,14
TR-012009,SUB-012,East,89.44,61.94,39.88,0.76,92.75,100,9,13
TR-013018,SUB-013,East,87.78,62.87,41.25,0.72,92.67,100,4,3
TR-013016,SUB-013,East,88.31,62.18,39.98,0.75,94.4,100,8,48
TR-013015,SUB-013,East,89.49,62.62,39.89,0.75,94.15,100,8,22
TR-013014,SUB-013,East,88.29,62.32,39.32,0.75,94.82,100,9,42
TR-013011,SUB-013,East,90.74,63.87,39.48,0.73,94.89,100,1,5
TR-013009,SUB-013,East,88.82,63.87,39.59,0.74,92.69,100,4,6
TR-013007,SUB-013,East,90.44,62.73,40.05,0.75,94.06,100,7,11
TR-013006,SUB-013,East,91.25,60.78,40.62,0.78,92.25,100,4,3
TR-013005,SUB-013,East,89.39,62.74,38.81,0.76,92.0,100,6,6
TR-013004,SUB-013,East,89.99,63.21,38.72,0.74,93.54,100,8,16
TR-013003,SUB-013,East,89.17,60.36,38.75,0.79,92.14,100,7,8
TR-021004,SUB-021,West,88.84,62.79,38.94,0.74,93.9,100,9,25
TR-020020,SUB-020,East,87.65,62.09,39.19,0.76,92.85,100,7,15
TR-020019,SUB-020,East,87.31,61.0,40.18,0.74,89.71,100,7,3
TR-020018,SUB-020,East,89.44,62.77,39.99,0.74,94.2,100,9,24
TR-020014,SUB-020,East,88.89,63.22,40.55,0.75,95.35,100,5,10
TR-020012,SUB-020,East,89.67,62.61,38.74,0.74,93.24,100,5,8
TR-020011,SUB-020,East,89.56,62.82,39.63,0.75,93.43,100,6,12
TR-020010,SUB-020,East,88.69,62.0,39.98,0.73,92.46,100,8,10
TR-020009,SUB-020,East,88.17,61.92,38.72,0.75,90.94,100,8,8
TR-020008,SUB-020,East,90.52,62.94,40.21,0.75,94.24,100,9,21
TR-014016,SUB-014,Central,88.97,62.89,40.02,0.73,91.89,100,6,5
TR-014015,SUB-014,Central,90.0,64.19,40.35,0.69,94.83,100,3,3
TR-014013,SUB-014,Central,91.16,62.48,42.77,0.73,93.39,100,6,5
TR-014012,SUB-014,Central,88.02,61.05,40.11,0.75,92.06,100,8,13
TR-014010,SUB-014,Central,90.68,63.07,38.72,0.75,93.93,100,6,6
TR-014005,SUB-014,Central,86.03,62.68,42.36,0.76,90.05,100,7,7
TR-014004,SUB-014,Central,88.43,62.38,41.34,0.75,93.21,100,9,15
TR-014003,SUB-014,Central,89.38,62.0,39.1,0.75,92.69,100,7,15
TR-013019,SUB-013,East,89.62,62.37,39.46,0.75,93.76,100,9,17
TR-020002,SUB-020,East,91.35,61.8,41.51,0.76,92.36,100,6,4
TR-019017,SUB-019,West,89.98,61.7,39.97,0.75,91.6,100,6,2
TR-019014,SUB-019,West,88.47,62.76,40.84,0.77,92.97,100,7,8
TR-019013,SUB-019,West,89.15,62.01,40.61,0.74,93.0,100,9,17
TR-019011,SUB-019,West,90.98,62.42,40.43,0.73,90.38,100,7,2
TR-019008,SUB-019,West,89.06,61.7,40.02,0.77,92.48,100,8,12
TR-015013,SUB-015,Central,90.25,61.64,40.29,0.75,92.45,100,6,7
TR-015012,SUB-015,Central,89.13,62.69,39.16,0.75,94.3,100,8,22
TR-015010,SUB-015,Central,89.0,62.56,39.57,0.75,92.39,100,7,8
TR-015008,SUB-015,Central,89.14,62.38,39.86,0.75,92.08,100,8,14
TR-015005,SUB-015,Central,90.22,63.96,40.41,0.76,90.5,100,6,1
TR-015002,SUB-015,Central,91.44,63.17,38.32,0.76,95.7,100,4,4
TR-014020,SUB-014,Central,89.44,62.75,39.94,0.75,94.45,100,9,34
TR-014019,SUB-014,Central,88.89,61.79,39.88,0.76,93.58,100,6,14
TR-014018,SUB-014,Central,89.48,61.88,39.35,0.73,93.12,100,6,8
TR-019007,SUB-019,West,88.56,62.33,39.68,0.75,94.33,100,9,29
TR-019005,SUB-019,West,88.13,61.69,39.57,0.74,92.24,100,8,14
TR-019004,SUB-019,West,89.73,62.9,40.07,0.75,93.12,100,7,12
TR-019003,SUB-019,West,89.5,62.09,38.77,0.7,92.08,100,5,4
TR-019001,SUB-019,West,88.2,62.68,40.02,0.75,94.27,100,8,32
TR-018019,SUB-018,North-East,87.5,62.01,39.57,0.73,92.0,100,7,11
TR-018017,SUB-018,North-East,87.75,60.98,40.98,0.76,90.89,100,7,7
TR-018016,SUB-018,North-East,87.22,59.94,39.51,0.77,91.44,100,6,8
TR-018014,SUB-018,North-East,88.71,62.44,40.07,0.74,93.59,100,8,20
TR-018012,SUB-018,North-East,88.68,61.86,41.8,0.77,91.62,100,5,4
TR-018011,SUB-018,North-East,88.66,62.01,39.76,0.76,94.04,100,7,29
TR-016010,SUB-016,Central,87.88,62.58,39.23,0.76,93.3,100,9,22
TR-016009,SUB-016,Central,90.09,62.99,40.26,0.74,95.24,100,9,28
TR-016008,SUB-016,Central,87.48,61.66,40.0,0.75,93.59,100,8,35
TR-016003,SUB-016,Central,89.1,62.17,39.81,0.75,93.0,100,8,17
TR-015020,SUB-015,Central,88.77,62.06,39.08,0.73,92.21,100,6,9
TR-015019,SUB-015,Central,89.08,62.67,40.22,0.75,93.04,100,8,21
TR-015018,SUB-015,Central,88.88,62.78,38.53,0.73,96.32,100,7,15
TR-015014,SUB-015,Central,88.81,60.93,40.93,0.75,91.12,100,7,7
TR-017011,SUB-017,North-East,88.42,63.18,39.98,0.74,92.13,100,6,6
TR-017010,SUB-017,North-East,89.84,63.02,40.18,0.73,94.63,100,8,22
TR-017006,SUB-017,North-East,92.67,64.17,40.56,0.73,94.22,100,4,2
TR-017003,SUB-017,North-East,87.41,60.18,38.95,0.76,91.0,100,6,7
TR-017002,SUB-017,North-East,90.09,62.34,39.52,0.75,93.77,100,6,16
TR-016020,SUB-016,Central,90.34,60.89,39.7,0.75,91.95,100,7,9
TR-016019,SUB-016,Central,84.81,61.06,43.69,0.76,88.8,100,4,2
TR-016017,SUB-016,Central,89.52,61.26,39.95,0.74,92.0,100,6,8
TR-018009,SUB-018,North-East,87.67,57.9,40.32,0.8,91.9,100,6,8
TR-018008,SUB-018,North-East,89.38,62.68,39.74,0.75,95.08,100,10,45
TR-018005,SUB-018,North-East,88.22,61.93,39.87,0.75,93.25,100,8,27
TR-018004,SUB-018,North-East,90.17,62.54,39.13,0.74,93.5,100,5,4
TR-018002,SUB-018,North-East,86.92,60.14,38.59,0.77,90.23,100,5,8
TR-018001,SUB-018,North-East,87.75,62.19,39.72,0.74,93.55,100,7,29
TR-017017,SUB-017,North-East,90.34,61.83,40.19,0.76,92.43,100,7,12
TR-017016,SUB-017,North-East,88.14,60.97,40.57,0.75,92.61,100,9,20
TR-017014,SUB-017,North-East,86.23,59.53,39.84,0.77,90.07,100,7,14
TR-017013,SUB-017,North-East,89.82,63.09,39.57,0.75,94.55,100,8,32
TR-017012,SUB-017,North-East,89.52,63.16,41.08,0.75,93.88,100,7,9
TR-001005,SUB-001,North,90.45,63.54,39.47,0.75,93.88,100,8,20
TR-029016,SUB-029,North,88.08,62.17,39.33,0.75,93.81,100,9,36
TR-029015,SUB-029,North,87.74,61.37,39.8,0.74,92.01,100,9,23
TR-029014,SUB-029,North,90.85,62.97,39.4,0.74,95.8,100,8,20
TR-029012,SUB-029,North,89.41,62.62,39.42,0.76,91.93,100,8,8
TR-029010,SUB-029,North,88.08,61.49,38.92,0.75,92.08,100,8,7
TR-029008,SUB-029,North,88.71,61.79,40.15,0.74,93.66,100,8,25
TR-029007,SUB-029,North,88.6,61.71,40.93,0.73,92.19,100,6,9
TR-029006,SUB-029,North,88.85,62.31,39.07,0.73,92.11,100,8,9
TR-029004,SUB-029,North,87.84,61.19,39.31,0.77,89.9,100,5,6
TR-029001,SUB-029,North,88.23,62.25,40.41,0.75,94.07,100,9,44
TR-002001,SUB-002,North,90.26,62.51,38.8,0.75,93.73,100,7,10
TR-001020,SUB-001,North,88.03,62.06,40.27,0.75,94.79,100,6,15
TR-001018,SUB-001,North,90.09,61.59,41.03,0.76,93.6,100,5,6
TR-001017,SUB-001,North,89.47,59.76,41.51,0.79,90.86,100,4,2
TR-001016,SUB-001,North,87.93,62.3,40.6,0.75,93.35,100,7,26
TR-001013,SUB-001,North,88.59,62.54,39.72,0.77,92.78,100,7,11
TR-001009,SUB-001,North,88.93,61.68,39.92,0.75,92.96,100,7,18
TR-001008,SUB-001,North,87.83,60.41,39.27,0.78,91.36,100,3,5
TR-001007,SUB-001,North,88.67,62.25,40.12,0.74,91.06,100,6,5
TR-001010,SUB-001,North,91.25,63.36,39.62,0.78,94.33,99,3,3
TR-001014,SUB-001,North,91.0,63.97,41.47,0.77,90.56,99,4,0
TR-001012,SUB-001,North,86.95,63.81,40.56,0.73,94.33,99,3,6
TR-017020,SUB-017,North-East,84.67,60.74,38.65,0.79,95.67,99,3,3
TR-029011,SUB-029,North,88.54,62.87,39.74,0.72,90.17,99,2,1
TR-016018,SUB-016,Central,87.86,59.84,40.02,0.77,90.6,99,4,5
TR-019012,SUB-019,West,90.84,61.73,38.68,0.73,90.0,99,4,1
TR-015003,SUB-015,Central,90.36,59.16,40.23,0.76,90.1,99,6,4
TR-016015,SUB-016,Central,88.06,59.37,39.88,0.77,91.86,99,4,5
TR-014008,SUB-014,Central,89.22,62.0,38.86,0.75,91.5,99,4,3
TR-021014,SUB-021,West,91.12,61.85,37.71,0.76,93.4,99,3,3
TR-014001,SUB-014,Central,89.53,62.8,39.21,0.72,92.2,99,4,2
TR-019019,SUB-019,West,88.39,62.1,40.34,0.77,93.17,99,5,4
TR-019018,SUB-019,West,88.12,63.29,39.06,0.73,90.62,99,3,2
TR-012008,SUB-012,East,88.69,62.14,39.79,0.7,92.67,99,5,5
TR-021006,SUB-021,West,91.32,63.0,44.3,0.7,94.33,99,2,2
TR-010004,SUB-010,South,88.12,64.36,39.93,0.66,93.5,99,1,1
TR-009019,SUB-009,South,87.87,61.83,42.58,0.77,91.67,99,4,3
TR-010001,SUB-010,South,90.23,61.56,41.65,0.72,92.67,99,3,1
TR-010009,SUB-010,South,88.21,61.39,41.15,0.75,89.5,99,7,2
TR-010019,SUB-010,South,92.62,62.36,36.99,0.76,94.29,99,3,2
TR-010016,SUB-010,South,88.2,62.58,41.57,0.75,95.4,99,2,4
TR-022001,SUB-022,South,87.04,64.11,39.35,0.74,93.2,99,3,3
TR-012001,SUB-012,East,90.37,64.94,37.2,0.78,91.33,99,4,1
TR-011018,SUB-011,East,87.78,65.33,37.91,0.72,95.75,99,5,5
