event_id,timestamp,region,substation_id,transformer_id,latitude,longitude,voltage_kv,current_amp,power_mw,frequency_hz,load_percent,power_factor,temperature_c,energy_generated_mwh,energy_consumed_mwh,outage_duration_min,communication_latency_ms,fault_indicator,anomaly_score,risk_score,status,anomaly_type
EVT-0000081,2025-04-09 13:55:14.572658,West,SUB-005,TR-005002,19.076,72.8777,36.42,83.27,2.44,50.29,90.0,0.8043,58.28,76.0,26.96,0.0,28.97,0,0.4277,87,Critical,Voltage Fluctuation
EVT-0000082,2025-05-06 15:03:03.000553,West,SUB-005,TR-005003,19.076,72.8777,39.18,34.28,1.3,49.96,48.0,0.9651,41.35,94.35,13.35,0.0,1.92,0,0.041,32,Low,Compound Anomaly
EVT-0000083,2025-04-22 12:12:40.050799,West,SUB-005,TR-005004,19.076,72.8777,37.0,83.04,2.77,49.75,79.08,0.9,50.68,-75.77,27.98,0.0,8.61,0,0.2456,78,High Risk,Frequency Deviation
EVT-0000084,2025-06-26 01:23:40.822411,West,SUB-005,TR-005005,19.076,72.8777,40.35,25.28,0.97,50.08,22.74,0.9468,37.76,33.65,15.88,0.0,5.18,0,0.0309,5,Normal,Normal
EVT-0000085,2025-05-16 06:51:44.797430,West,SUB-005,TR-005006,19.076,72.8777,37.12,53.44,1.7,50.2,59.58,0.8572,50.0,16.12,48.22,0.0,32.28,0,0.17,58,Warning,Unexpected Consumption
EVT-0000086,2025-06-14 19:42:50.962594,West,SUB-005,TR-005007,19.076,72.8777,39.9,33.17,1.25,50.1,31.2,0.9425,42.82,-35.05,-15.83,0.0,10.59,0,0.0241,13,Normal,Normal
EVT-0000087,2025-06-07 00:40:31.550740,West,SUB-005,TR-005008,19.076,72.8777,37.52,45.44,1.33,49.78,58.0,0.779,50.0,-18.27,35.45,0.0,13.43,0,0.1833,57,Warning,Power Factor Anomaly
EVT-0000088,2025-06-04 10:36:57.243175,West,SUB-005,TR-005009,19.076,72.8777,40.3,38.28,1.42,50.01,48.0,0.9233,42.13,-16.33,-20.66,0.0,7.54,0,0.014,27,Normal,Normal
EVT-0000089,2025-05-11 18:57:26.706000,West,SUB-005,TR-005010,19.076,72.8777,35.62,77.61,1.58,49.64,85.0,0.5734,63.0,28.91,19.5,0.0,24.57,1,0.7476,100,Critical,Compound Anomaly
EVT-0000090,2025-05-16 07:28:58.901435,West,SUB-005,TR-005011,19.076,72.8777,36.55,64.06,1.98,50.25,82.2,0.8466,54.94,32.75,13.09,0.0,4.58,1,0.5073,89,Critical,Transformer Fault
EVT-0000091,2025-06-12 03:55:21.553567,West,SUB-005,TR-005012,19.076,72.8777,37.16,59.62,1.84,50.23,70.0,0.8307,56.0,29.31,9.75,110.31,33.74,0,0.1907,67,Warning,Generation Drop
EVT-0000092,2025-06-02 00:01:24.164746,West,SUB-005,TR-005013,19.076,72.8777,39.87,17.03,0.64,49.98,23.9,0.9456,38.04,-31.13,-22.63,0.0,4.61,0,0.01,6,Normal,Normal
EVT-0000093,2025-04-24 00:37:40.164812,West,SUB-005,TR-005014,19.076,72.8777,42.7,62.87,2.25,50.18,70.0,0.84,56.0,29.65,-11.81,0.0,4.6,0,0.1724,66,Warning,Generation Drop
EVT-0000094,2025-04-18 18:57:46.197827,West,SUB-005,TR-005015,19.076,72.8777,39.84,29.57,1.12,49.96,31.21,0.9482,40.82,79.95,-20.23,0.0,4.71,0,0.015,12,Normal,Normal
EVT-0000095,2025-04-19 06:01:42.173956,West,SUB-005,TR-005016,19.076,72.8777,40.18,36.72,1.37,49.99,40.62,0.9301,41.71,5.23,-12.19,0.0,6.68,0,0.0096,16,Normal,Normal
EVT-0000096,2025-05-07 07:50:32.748421,West,SUB-005,TR-005017,19.076,72.8777,40.69,46.59,1.78,50.07,42.5,0.9411,43.2,20.45,23.34,0.0,4.98,0,0.0415,28,Normal,Normal
EVT-0000097,2025-04-12 16:11:32.787425,West,SUB-005,TR-005018,19.076,72.8777,40.88,31.57,1.2,50.0,48.0,0.9315,39.95,33.56,-28.64,0.0,1.68,0,0.0352,26,Normal,Normal
EVT-0000098,2025-05-06 22:54:08.292435,West,SUB-005,TR-005019,19.076,72.8777,40.48,19.47,0.74,49.98,31.09,0.9359,37.78,38.29,3.31,0.0,5.07,0,0.0239,10,Normal,Normal
EVT-0000099,2025-05-14 03:04:08.282473,West,SUB-005,TR-005020,19.076,72.8777,44.0,76.14,2.53,50.42,85.0,0.755,63.0,-78.35,22.3,0.0,29.26,0,0.4835,88,Critical,Overload
EVT-0000100,2025-06-04 18:49:41.882054,West,SUB-006,TR-006001,23.0225,72.5799,36.59,51.95,1.68,49.85,58.0,0.8849,50.0,-67.5,-8.96,0.0,4.16,0,0.1721,59,Warning,Temperature Spike
EVT-0000101,2025-04-21 23:56:59.519787,West,SUB-006,TR-006002,23.0225,72.5799,40.13,21.81,0.83,49.9,22.56,0.948,41.96,52.03,-2.45,0.0,9.39,0,0.0251,8,Normal,Normal
EVT-0000102,2025-04-13 20:00:12.902100,West,SUB-006,TR-006003,23.0225,72.5799,43.76,82.91,2.83,49.67,85.0,0.78,63.0,7.57,-15.98,0.0,7.1,0,0.4482,89,Critical,Generation Drop
EVT-0000103,2025-05-29 02:24:46.451830,West,SUB-006,TR-006004,23.0225,72.5799,40.82,16.99,0.65,49.92,20.82,0.94,37.67,74.49,10.78,0.0,2.39,0,0.0493,8,Normal,Normal
EVT-0000104,2025-04-08 01:47:39.591487,West,SUB-006,TR-006005,23.0225,72.5799,36.53,64.07,2.02,50.18,58.0,0.8637,50.0,-49.62,3.43,0.0,9.1,0,0.1875,58,Warning,Voltage Fluctuation
EVT-0000105,2025-05-11 15:53:45.267758,West,SUB-006,TR-006006,23.0225,72.5799,39.17,52.17,1.89,50.1,48.0,0.9266,42.27,57.77,7.83,0.0,6.7,0,0.053,32,Low,Generation Drop
EVT-0000106,2025-06-07 02:43:58.277975,West,SUB-006,TR-006007,23.0225,72.5799,39.11,15.14,0.57,50.04,15.0,0.9698,39.86,51.32,-32.59,21.81,6.92,0,0.0437,9,Normal,Normal
EVT-0000107,2025-04-03 22:12:48.955792,West,SUB-006,TR-006008,23.0225,72.5799,43.08,55.11,2.08,49.81,58.0,0.8768,50.0,1.95,2.88,0.0,25.0,0,0.168,57,Warning,Unexpected Consumption
EVT-0000108,2025-04-23 18:56:44.850688,West,SUB-006,TR-006009,23.0225,72.5799,40.84,44.99,1.71,50.03,42.77,0.932,38.37,33.85,-15.88,0.0,6.33,0,0.0394,23,Normal,Normal
EVT-0000109,2025-06-29 15:20:30.163251,West,SUB-006,TR-006010,23.0225,72.5799,36.83,74.71,2.25,49.75,87.14,0.8167,56.62,-27.23,2.47,0.0,8.07,0,0.3602,81,High Risk,Overload
EVT-0000110,2025-06-09 02:24:02.705475,West,SUB-006,TR-006011,23.0225,72.5799,36.88,57.95,1.92,49.82,58.0,0.9,50.0,21.5,-26.02,0.0,15.93,1,0.3608,68,Warning,Generation Drop
EVT-0000111,2025-04-02 00:03:37.434625,West,SUB-006,TR-006012,23.0225,72.5799,40.21,15.42,0.58,50.05,22.81,0.9319,38.21,-90.87,15.17,0.0,3.3,0,0.0189,5,Normal,Normal
EVT-0000112,2025-04-05 04:23:01.405649,West,SUB-006,TR-006013,23.0225,72.5799,39.0,24.44,0.88,50.02,23.9,0.9216,39.57,52.06,-14.79,0.0,12.0,0,0.0432,8,Normal,Normal
EVT-0000113,2025-04-21 08:19:16.315266,West,SUB-006,TR-006014,23.0225,72.5799,36.5,64.17,2.11,50.17,70.41,0.9,50.0,9.37,-7.29,0.0,20.39,0,0.1777,69,Warning,Generation Drop
EVT-0000114,2025-06-17 07:56:21.739033,West,SUB-006,TR-006015,23.0225,72.5799,42.42,62.76,2.2,50.23,69.34,0.826,50.67,-57.53,-9.46,0.0,25.12,0,0.1675,61,Warning,Overload
EVT-0000115,2025-05-13 05:12:22.118389,West,SUB-006,TR-006016,23.0225,72.5799,42.93,57.5,1.95,50.28,70.0,0.7906,56.0,-107.16,-8.29,17.84,27.04,0,0.2184,70,High Risk,Frequency Deviation
EVT-0000116,2025-05-01 11:44:32.234649,West,SUB-006,TR-006017,23.0225,72.5799,34.6,89.73,2.1,49.6,100.0,0.6773,66.16,-34.72,11.8,17.59,12.66,1,0.9128,100,Critical,Compound Anomaly
EVT-0000117,2025-04-26 10:43:32.394299,West,SUB-006,TR-006018,23.0225,72.5799,40.69,44.49,1.7,49.9,48.0,0.9399,44.52,-26.41,2.32,0.0,7.29,0,0.0477,35,Low,Voltage Fluctuation
EVT-0000118,2025-05-17 21:03:04.146982,West,SUB-006,TR-006019,23.0225,72.5799,40.63,37.88,1.44,50.05,40.0,0.9329,44.0,-3.21,-9.18,9.34,9.83,0,0.0359,25,Normal,Normal
EVT-0000119,2025-05-01 14:26:53.376866,West,SUB-006,TR-006020,23.0225,72.5799,35.92,92.94,2.6,50.37,93.49,0.78,64.88,7.62,2.04,0.0,12.08,1,0.7557,100,Critical,Compound Anomaly
EVT-0000120,2025-05-16 21:55:35.988103,West,SUB-007,TR-007001,18.5204,73.8567,37.05,64.21,2.0,50.24,70.0,0.84,56.0,38.74,-7.25,0.0,18.04,1,0.3949,80,High Risk,Transformer Fault
